,f_Hz,G_mS,B_ms
70,4996770.925,0.3047869983026411,2.407750628377357
71,4996773.3525,0.30860168484310024,2.4182438010263905
72,4996775.78,0.31363874572421263,2.4263264090880967
73,4996778.2075,0.3174114146465053,2.4352904817392984
74,4996780.635,0.3196387902057669,2.444212438236857
75,4996783.0625,0.3250677000476484,2.455302746434613
76,4996785.49,0.33001522432010844,2.4650509254486788
77,4996787.9175,0.3339934918569597,2.474774243086916
78,4996790.345,0.3376141953551614,2.485089543667813
79,4996792.7725,0.34330582587224173,2.4922221995450884
80,4996795.2,0.3488891523226676,2.5044569232857685
81,4996797.6275,0.3504592953878332,2.514068158269487
82,4996800.055,0.35909882742870636,2.523177281508627
83,4996802.4825,0.3622019817659131,2.535223152808291
84,4996804.91,0.36710900038180827,2.547186174583302
85,4996807.3375,0.37349650352776853,2.5567031029520093
86,4996809.765,0.37885872763699124,2.5685916271010396
87,4996812.1925,0.3855277029262647,2.580557011489018
88,4996814.62,0.39136866643208296,2.5908525884562037
89,4996817.0475,0.3954738692186068,2.601097079445975
90,4996819.475,0.3995938236365031,2.614748537187216
91,4996821.9025,0.4096932249561331,2.625970237839618
92,4996824.33,0.4127513540717203,2.641326563212597
93,4996826.7575,0.42021372607202423,2.6505189431857987
94,4996829.185,0.42579002892446355,2.664608830376031
95,4996831.6125,0.4344246581666739,2.6749259442141105
96,4996834.04,0.44022667153982054,2.688131348102323
97,4996836.4675,0.447769645067674,2.7009600300150707
98,4996838.895,0.454751316147907,2.714713376514176
99,4996841.3225,0.46163630497214775,2.728593923173291
100,4996843.75,0.46852639241244437,2.7441424176890092
101,4996846.1775,0.47635918768757174,2.756672548182543
102,4996848.605,0.4844386530674115,2.768509192724619
103,4996851.0325,0.4926219607292581,2.7829959000637077
104,4996853.46,0.5010495832844171,2.797439588165075
105,4996855.8875,0.5106363729831503,2.812775925682626
106,4996858.315,0.5184911390800643,2.8266824958495054
107,4996860.7425,0.5283256501155277,2.8435088449239783
108,4996863.17,0.535839753044287,2.858763515128107
109,4996865.5975,0.5474477198149936,2.8745544403730663
110,4996868.025,0.5578449780789259,2.8901026525512266
111,4996870.4525,0.5671742665191767,2.9065554964751343
112,4996872.88,0.5783439258461696,2.921706313267702
113,4996875.3075,0.5898730631102304,2.9390107839049477
114,4996877.735,0.6017199640229681,2.9559449419362362
115,4996880.1625,0.6113789030684089,2.9733554072912747
116,4996882.59,0.6241319686440633,2.9922508393441922
117,4996885.0175,0.6376058509083244,3.0085158995166985
118,4996887.445,0.6503673575042522,3.0278854208961046
119,4996889.8725,0.6638746832243172,3.046448295801691
120,4996892.3,0.676881139299475,3.064537653854909
121,4996894.7275,0.6898915863852643,3.083370600599007
122,4996897.155,0.7042149173834039,3.099777319410496
123,4996899.5825,0.7196002314724574,3.120143858408591
124,4996902.01,0.7339724629276849,3.1393339190550518
125,4996904.4375,0.7500489568743168,3.161106411375169
126,4996906.865,0.7652881510142241,3.1808533083212107
127,4996909.2925,0.7829901867299375,3.2024548391651533
128,4996911.72,0.7997081199768912,3.224647000047502
129,4996914.1475,0.8188459432401128,3.2470260957826027
130,4996916.575,0.8371766138152554,3.2658525852390468
131,4996919.0025,0.8568371040572816,3.290530775177989
132,4996921.43,0.8733234427096318,3.310409744779047
133,4996923.8575,0.8974027640705129,3.3350709955789375
134,4996926.285,0.9169892711948217,3.3592165636335967
135,4996928.7125,0.9380112714657769,3.3823715572500634
136,4996931.14,0.9612093952399873,3.4046606129966293
137,4996933.5675,0.9850133990879478,3.433427359692528
138,4996935.995,1.0096046625247248,3.4536624470672375
139,4996938.4225,1.0349109829929584,3.478846359650321
140,4996940.85,1.0603795731206203,3.5066466934573084
141,4996943.2775,1.089610413337749,3.5308189816306306
142,4996945.705,1.1156621252761842,3.556425050006061
143,4996948.1325,1.1457339192866838,3.5838179416131233
144,4996950.56,1.1750152944574,3.610767013408907
145,4996952.9875,1.2091353046714806,3.6382195620693465
146,4996955.415,1.239878451510984,3.6667622104048467
147,4996957.8425,1.2735296428042346,3.692950731342442
148,4996960.27,1.3095630051415175,3.7205037507026546
149,4996962.6975,1.3483765634658826,3.7497078817236043
150,4996965.125,1.3846405292171162,3.7807928320701016
151,4996967.5525,1.4236894914214957,3.8078112192318203
152,4996969.98,1.4678230408276152,3.8357963332032
153,4996972.4075,1.5088317531269353,3.86799029913776
154,4996974.835,1.5526829758922982,3.89561005283978
155,4996977.2625,1.6010344705533577,3.927931439515817
156,4996979.69,1.6487516048715127,3.9536569655025113
157,4996982.1175,1.7008628232994718,3.9845636527130597
158,4996984.545,1.7521700931110868,4.0155288763139625
159,4996986.9725,1.8078885245871363,4.042608062663684
160,4996989.4,1.8655375155690987,4.0751418267794115
